BCW,3,1,5,entropy,0.952,0.016
BCW,3,1,6,entropy,0.956,0.007
BCW,3,2,2,entropy,0.95,0.0
BCW,3,2,3,entropy,0.943,0.011
BCW,3,2,4,entropy,0.952,0.007
BCW,3,2,5,entropy,0.952,0.016
BCW,3,2,6,entropy,0.956,0.007
BCW,3,3,2,entropy,0.95,0.0
BCW,3,3,3,entropy,0.943,0.011
BCW,3,3,4,entropy,0.952,0.007
BCW,3,3,5,entropy,0.952,0.016
BCW,3,3,6,entropy,0.956,0.007
BCW,3,4,2,entropy,0.95,0.0
BCW,3,4,3,entropy,0.943,0.011
BCW,3,4,4,entropy,0.952,0.007
BCW,3,4,5,entropy,0.952,0.016
BCW,3,4,6,entropy,0.956,0.007
BCW,4,1,2,entropy,0.946,0.001
BCW,4,1,3,entropy,0.943,0.019
BCW,4,1,4,entropy,0.946,0.005
BCW,4,1,5,entropy,0.956,0.013
BCW,4,1,6,entropy,0.955,0.008
BCW,4,2,2,entropy,0.946,0.001
BCW,4,2,3,entropy,0.943,0.019
BCW,4,2,4,entropy,0.946,0.005
BCW,4,2,5,entropy,0.956,0.013
BCW,4,2,6,entropy,0.955,0.008
BCW,4,3,2,entropy,0.946,0.001
BCW,4,3,3,entropy,0.943,0.019
BCW,4,3,4,entropy,0.946,0.005
BCW,4,3,5,entropy,0.956,0.013
BCW,4,3,6,entropy,0.955,0.008
BCW,4,4,2,entropy,0.946,0.001
BCW,4,4,3,entropy,0.943,0.019
BCW,4,4,4,entropy,0.946,0.005
BCW,4,4,5,entropy,0.956,0.013
BCW,4,4,6,entropy,0.955,0.008
BCW,1,1,2,misclassification,0.93,0.003
BCW,1,1,3,misclassification,0.919,0.006
BCW,1,1,4,misclassification,0.921,0.009
BCW,1,1,5,misclassification,0.922,0.014
BCW,1,1,6,misclassification,0.918,0.015
BCW,1,2,2,misclassification,0.93,0.003
BCW,1,2,3,misclassification,0.919,0.006
BCW,1,2,4,misclassification,0.921,0.009
BCW,1,2,5,misclassification,0.922,0.014
BCW,1,2,6,misclassification,0.918,0.015
BCW,1,3,2,misclassification,0.93,0.003
BCW,1,3,3,misclassification,0.919,0.006
BCW,1,3,4,misclassification,0.921,0.009
BCW,1,3,5,misclassification,0.922,0.014
BCW,1,3,6,misclassification,0.918,0.015
BCW,1,4,2,misclassification,0.93,0.003
BCW,1,4,3,misclassification,0.919,0.006
BCW,1,4,4,misclassification,0.921,0.009
BCW,1,4,5,misclassification,0.922,0.014
BCW,1,4,6,misclassification,0.918,0.015
BCW,2,1,2,misclassification,0.95,0.0
BCW,2,1,3,misclassification,0.958,0.008
BCW,2,1,4,misclassification,0.958,0.011
BCW,2,1,5,misclassification,0.959,0.01
BCW,2,1,6,misclassification,0.956,0.013
BCW,2,2,2,misclassification,0.95,0.0
BCW,2,2,3,misclassification,0.958,0.008
BCW,2,2,4,misclassification,0.958,0.011
BCW,2,2,5,misclassification,0.959,0.01
BCW,2,2,6,misclassification,0.956,0.013
BCW,2,3,2,misclassification,0.95,0.0
BCW,2,3,3,misclassification,0.958,0.008
BCW,2,3,4,misclassification,0.958,0.011
BCW,2,3,5,misclassification,0.959,0.01
BCW,2,3,6,misclassification,0.956,0.013
BCW,2,4,2,misclassification,0.95,0.0
BCW,2,4,3,misclassification,0.958,0.008
